Word,Count
*,26
=,19
\"\\,11
+,11
new,10
,9
file,7
\File("\/C:/SECOND\,7
File,7
\DRIVE/KULIAH/SEM.8/project.xml"\);\,7
@author,6
HP,6
int,5
PC,5
\System.out.println("\Jumlah\,5
:,4
class,4
the,4
OF,3
methods,3
NUMBER,3
xmlReader();,2
choose,2
change,2
To,2
reader,2
template,2
{,2
static,2
xmlReader,2
void,2
this,2
CONSTRUCTOR,2
set,2
System.out.println(i);,2
in,2
public,2
},2
attr);,1
License,1
\System.out.println("\setter\,1
cons);,1
attr,1
\header,\,1
Ngener();,1
association,1
\File"\,\,1
constructor,1
\"\xml"\));\,1
ModelChildren,1
avgAttributes();,1
\System.out.println("\KETEMU\,1
\IOException,\,1
@param,1
jfc.setFileFilter(new,1
estimasi,1
filter,1
editor,1
selected,1
avgSet);,1
asso,1
Association,1
gener);,1
Templates,1
import,1
\file,\,1
throws,1
Nconstructor();,1
method,1
attribute,1
Attributes,1
TODO,1
SEBANYAK,1
JUMLAH,1
METHODS,1
sumClasses();,1
///,1
CLASSES,1
classes);,1
jenis,1
generalization,1
methods);,1
args,1
FXML,1
System.out.println(set,1
Headers,1
Project,1
calculate_LOC();,1
dir,1
Generalization,1
org.w3c.dom.Node;,1
license,1
Controller,1
line,1
gener,1
and,1
avgGet);,1
args),1
looking,1
get);,1
|,1
controller,1
SETTER,1
loc,1
\System.out.println("\Mengandung\,1
setter);,1
Nmethods();,1
dir;,1
open,1
setDir(String,1
SAXException,1
Tools,1
JMethods();,1
\ParserConfigurationException,\,1
calculate_LOC,1
command,1
Nasso();,1
main(String[],1
dir),1
Properties,1
\FileNameExtensionFilter("\Document\,1
for,1
asso);,1
\setter,getter\,1
arguments,1
cal,1
classes,1
Initializes,1
\System.out.println("\getter\,1
